"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"City of San Jose","FEBRUARY 24, 2015 ","1. CEREMONIAL ITEMS ","1.3 Presentation of a commendation to Roy Blume, an Eagle Scout in Almaden Valley who restored and relocated three concrete animals for use in the childrens play lot at Jeffery Fontana Park. (Khamis)","(Rules Committee referral 2/18/15) TO BE HEARD IN THE EVENING",""
"City of San Jose","FEBRUARY 24, 2015 ","1. CEREMONIAL ITEMS ","1.4 Presentation of a commendation to Jesse Dueck, a member of Troop 294 and an Eagle Scout who developed barricade doors for Castillero Middle School to help keep children safe. (Khamis)","(Rules Committee referral 2/18/15) TO BE HEARD IN THE EVENING",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","Recommendation: Final adoption of ordinances. (a) ORD. NO. 29531 Rezoning certain real property of approximately 2.37 acres situated on the North Side of Thornwood Drive, east of Winfield Boulevard at 5340 and 5406 Thornwood Drive from the A(PD) Planned Development Zoning District to the CIC Combined Industrial/Commercial Zoning District. CEQA. Re-Use of Envision San Jose 2040 General Plan FEIR (Reso. No. 76041) Planning, Building, and Code Enforcement file number C14-066 (b) ORD. NO. 29532 Amending Section 10.32.010 of Chapter 10.32 Of Title 10 of the San Jose Municipal Code, to allow persons with a duly issued and approved wild pig depredation permits from the California Department Of Fish And Wildlife to discharge a firearm within the limits of the city under specified circumstances. CEQA. File no. PP13-103 - Use of the Santa Clara Valley Habitat Plan EIR for an urgency ordinance for the control of the wild pig population.",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Community and Economic Development Committee Report of January 26, 2015. (Khamis) [Deferred from 2/10/15 Item 2.3(b)] (b) Rules and Open Government Committee Report of January 28, 2015. (Mayor) (c) Transportation and Environment Committee Report of February 2, 2015. (Kalra) (d) Rules and Open Government Committee Report of February 4, 2015. (Mayor)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests","Recommendation: (a) Request for an excused absence for Councilmember Rocha from the Regular Meeting of the City Council on February 10, 2015 due to a family emergency. (Rocha) (b) Request for an excused absence for Councilmember Carrasco from the Regular Meeting of the City Council on February 10, 2015 due to illness. (Carrasco) (c) Request for an excused absence for Councilmember Carrasco from the Regular Meeting of the Rules and Open Government Committee and Committee as a Whole on February 11, 2015. (Carrasco) (d) Request for an excused absence for Councilmember Carrasco from the Regular Meeting of Neighborhood Services and Education Committee on February 12, 2015. (Carrasco)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.7 Board and Commission Appointments","Supplemental Memo from Councilmember Jones Memo from Councilmember Matthews Recommendation: Approve the following Board and Commission appointments: (a) Council Appointment Advisory Commission (CAAC): (1) Citywide: Appoint Omar Teutle to a term expiring 12/31/18; (2) District 8: Appoint Denise Belisle to a term expiring 12/31/18; (3) District 10: Appoint Joey Morley to a term expiring 12/31/18; (b) Housing and Community Development Commission: (1) District 4: Appoint Victoria Johnson to a term expiring 6/30/15, and appoint to a consecutive term expiring 6/30/19; (2) Mobilehome Resident Representative: Appoint Davlyn Jones to a term expiring 12/31/18 as nominated by the Council Appointment Advisory Commission Subcommittee; (c) Human Services Commission: (1) District 4: Appoint Shailesh Dubale to a term expiring 12/31/18; (2) District 8: Appoint Saeed Chaudhary to a term expiring 12/31/18; (d) Youth Commission: (1) District 6: Appoint Spencer Day to a term expiring 5/31/16. (City Clerk)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.8 Naming of the Tennis Courts Located at Backesto Park","Memo from Mayor Liccardo and Councilmember Peralez Recommendation: As recommended by the Parks, Recreation and Neighborhood Services and Parks and Recreation Commission, name the tennis courts located at Backesto Park as the Don Johnson Tennis Courts. Council District 3. CEQA: Not a Project, File No. PP10-068(c), Code or policy change that involves no changes in the physical environment. (City Clerk)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.9 Naming of the City Park Located at 80 Montecito Vista Drive","Recommendation: As recommended by Parks, Recreation and Neighborhood Services and the Parks and Recreation Commission, name the future park located at 80 Montecito Vista Drive Elaine Richardson Park. Council District 7. CEQA: Not a Project, File No. PP10-068(c), Code or policy change that involves no changes in the physical environment. (City Clerk)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.10 Naming of the City Park Located at the Southeasterly Corner of River Oaks Parkway and Seely Avenue","Recommendation: As recommended by Parks, Recreation and Neighborhood Services and the Parks and Recreation Commission, name the future park located at the Southeasterly Corner of River Oaks Parkway and Seely Avenue Iris Chang Park. Council District 4. CEQA: Not a Project, File No. PP10-068(c), Code or policy change that involves no changes in the physical environment. (City Clerk)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.11 Naming of the City Park Located at 1633 Old Oakland Road","Recommendation: As recommended by Parks, Recreation and Neighborhood Services and the Parks and Recreation Commission, name the new park located at 1633 Old Oakland Road Orchard Park. Council District 3. CEQA: Not a Project, File No. PP10-068(c), Code or policy change that involves no changes in the physical environment. (City Clerk)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.12 Amendment to the Agreement with Kubra America West, Inc., for Document Printing, Mailing, E-Presentment, E-Payment and Remittance Services","Supplemental Recommendation: Adopt a resolution authorizing the City Manager to: (a) Execute the Fourth Amendment to the Agreement for Document Printing, Mailing, E-Presentment, E-Payment and Remittance Services with Kubra America West, Inc., a wholly owned subsidiary of Kubra Data Transfer Ltd, Kubra (Ontario, Canada), to extend services for one additional twelve month period for the term July 1, 2015 through June 30, 2016 for a not to exceed amount of $359,000. (b) Execute one additional one-year option to extend the Agreement through June 30, 2017, subject to the appropriation of funds. (c) Increase the authorization of the Director of Finance to execute change orders from the original authorized amount of $100,000 to $200,000, subject to the appropriation of funds, for Kubra to assist the City with the transition from the existing legacy systems to the new systems, and for any end of contract data transfer that may be required. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (Finance)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.13 District 7s Balermino Park Grand Opening Ceremony","Recommendation: As recommended by the Rules and Open Government Committee on February 11, 2015: (a) Approve the Balermino Park Grand Opening Ceremony scheduled on March 7, 2015 as a City Council sponsored Special event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project, File No. PP10-066(e). (Nguyen) [Rules Committee referral 2/11/15 Item G(1)(a)]",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.14 Actions Related to the Coyote Creek Trail Story Road to Phelan Avenue Project","Recommendation: (a) Adopt a resolution adopting the Mitigated Negative Declaration for the Coyote Creek Trail (Story Road to Phelan Avenue) Project as complete and prepared in compliance with the California Environmental Quality Act and reflecting the Citys independent judgment and analysis, and adopting the related Mitigation Monitoring and Reporting Program for the Project; and (b) Approve the Coyote Creek Trail Story Road to Phelan Avenue Project plans. CEQA: Mitigated Negative Declaration. Council District 7. (Parks, Recreation and Neighborhood Services)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.15 Actions Related to the Agreement with City and County of San Francisco for the 2014 Bay Area Urban Areas Security Initiative Grant Funds","Recommendation: (a) Adopt a resolution authorizing the City Manager to execute an Agreement between the City of San Jose and the City and County of San Francisco, acting as fiscal agent for the Bay Area Urban Areas Security Initiative, to accept the 2014 Urban Areas Security Initiative grant allocation in the amount of $1,000,000, and to negotiate and execute additional amendments and related documents without further Council action. (b) Adopt the following 2014 -2015 Appropriation Ordinance and Funding Sources Resolution Amendments in the General Fund: (1) Establish a City-Wide Expenses appropriation to the Police Department for the Urban Areas Security Initiative Grant - Police 2014 in the amount of $575,000; (2) Establish a City-Wide Expenses appropriation to the Fire Department for the Urban Areas Security Initiative Grant - Fire 2014 in the amount of $365,000; and (3) Increase the estimate for Revenue from the Federal Government by $940,000. CEQA: Not a Project, File No. PP10-066(g), Memorandum of Understanding. (Police/Fire/City Manager)",""
"City of San Jose","FEBRUARY 24, 2015 ","2. CONSENT CALENDAR ","2.16 District 8s Jewish American Heritage Month Flag Raising and Reception","Recommendation: As recommended by the Rules and Open Government Committee on February 18, 2015: (a) Approve the Jewish American Heritage month Flag Raising and Reception scheduled on Tuesday, May 12, 2015 as a City Council sponsored Special Event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project, File No. PP10-066(e). (Herrera) [Rules Committee referral 2/18/15 Item G(1)(a)]",""
"City of San Jose","FEBRUARY 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of the Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","FEBRUARY 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:00 A.M.",""
"City of San Jose","FEBRUARY 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 Ethics Commission Appointments","Conflict of Interest Code Review Applications Recommendation: (a) Interview five (5) applicants for appointment to the Ethics Commission; (b) Appoint three (3) members to the Ethics Commission to terms expiring March 1, 2019; and (c) If any vacancy remains, direct the City Clerk to continue recruitment efforts and bring forward additional applicants for consideration within 90 days. CEQA: Not a Project, File No. PP10-069(b). (City Clerk) Please note: Approval of this item requires 8 or more affirmative votes (2/3). TO BE HEARD IN THE EVENING",""
"City of San Jose","FEBRUARY 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.4 Planning Commission Appointments","Supplemental Code Review Conflict of Interest Applications Recommendation: (a) Interview applicants for appointment to the Planning Commission; and (b) Appoint one (1) member to the Planning Commission to term expiring June 30, 2016. CEQA: Not a Project, File No. PP10-069(b). (City Clerk) TO BE HEARD IN THE EVENING",""
"City of San Jose","FEBRUARY 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.5 Prohibition on Credits to Annual Required Retirement Contributions. - DROP","Recommendation: As recommended by the Rules and Open Government Committee on February 4, 2015, direct the City Attorney to draft an ordinance to bring forward to the Retirement Boards that will: (a) Require that the retirement boards, when setting their annual contributions rates, ensure that the Annual Required Contribution Rates do not apply credits for negative unfunded liabilities which occur when the plans exceed 100% funded status; and (b) Require that the City fully pay the Annual Required Contribution Rates without accepting credits applied for negative unfunded liabilities when the plan exceed 100% funded status. (Mayor) [Rules Committee referral 2/4/15 Item G(2)] DROP",""
"City of San Jose","FEBRUARY 24, 2015 ","5. NEIGHBORHOOD SERVICES ","5.1 Actions Related to Property Acquisition of Swenson Warehouses at Del Monte Park for Park Purposes","Recommendation: (a) Adopt a resolution authorizing the City Manager or his designee to: (1) Negotiate and execute a Purchase and Sale Agreement with Barry Swenson Builder/Green Valley Corporation with assumption of lease agreement, which includes demolition of structures and environmental remediation on 3.99 acres of real property approximately located at 830 Auzerais Street, Assessor Parcel Numbers: 264-11-107 and 264-11-108, in the amount of $9,000,000, as part of the future expansion of Del Monte Park; and (2) Negotiate and execute all other documents and take such further actions as are necessary to complete the transaction. (b) Adopt the following 2014-2015 Appropriation Ordinance amendments in the Subdivision Park Trust Fund: (1) Increase the appropriation to the Parks, Recreation and Neighborhood Services Department for Del Monte Land Acquisition in the amount of $6,380,000; and (2) Decrease the Future PDO/PIO Projects Reserve appropriation by $6,380,000. CEQA: Ohlone Mixed-Use Final Program EIR, File No. PP14-091. Council District 6. (Parks, Recreation and Neighborhood Services/Economic Development/City Manager)",""
"City of San Jose","FEBRUARY 24, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.1 Airport Ground Transportation Program. - DEFERRED","Recommendation: As recommended by the Rules and Open Government Committee on December 10, 2014, modify RFP SJC131415 On-Demand Ground Transportation Management for the Norman Y. Mineta San Jose International Airport in order to comply with Council direction from March 4, 2014 to ensure the ability to work at the airport will be distributed equally among the companies as follow s: (a) Delete the following language from the RFP: It is not expected, nor would an option be reviewed and approved by the Airport that calls for an equal/identical number of drivers to be assigned to the Airport per company despite the size of the company. (Item continued on the next page) Recommendation: (b) Add the following language to the RFP: Qualified cab companies will be required to provide an equal number of taxi cabs at the Airport to meet the demand from first to last flight, or from 5:00 a.m. to 12:00 midnight. The cab companies can schedule their drivers by 8 hours or more per day shift to give all of their drivers a chance to work at the Airport. (Herrera/Khamis) [Rules and Open Government Committee 12/10/14 Item G(5)] (Deferred from 1/27/15 Item 6.1 and 2/10/15 Item 6.1) DEFERRED TO 3/3/15 PER ADMINISTRATION",""
"City of San Jose","FEBRUARY 24, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.2 Agreement with Philips for Installation of Smartpoles","Memo from Mayor Liccardo, Vice Mayor Herrera and Councilmember Kalra Recommendation: (a) Adopt a resolution authorizing the City Manager or his designee to negotiate and execute an agreement with Philips for the installation of up to 50 SmartPoles for a term of up to ten years consistent with the direction provided by the City Council on the agreements terms. (b) Provide direction regarding the parameters of a competitive process soliciting proposals for replacement of the remaining non-LED lights citywide. CEQA: Exempt, File No. PP14-046. (Transportation/Economic Development/City Manager)",""
"City of San Jose","FEBRUARY 24, 2015 ","7. ENVIRONMENTAL & UTILITY SERVICES ","7.1 Amendment to the Agreement with Brown and Caldwell for the Digester and Thickener Facilities Upgrade Project","Supplemental Recommendation: (a) Approve the First Amendment to the Consultant Agreement with Brown and Caldwell for engineering services for the Digester and Thickener Facilities Upgrade project at the San Jose-Santa Clara Regional Wastewater Facility, modifying the scope of services and increasing the amount of compensation by $1,999,884, for a total agreement amount not to exceed $14,017,410; and extending the term of agreement from December 31, 2019 to June 30, 2020. (b) Adopt the following 2014-2015 Appropriation Ordinance Amendments in the San Jose-Santa Clara Treatment Plant Capital Fund: (1) Decrease the Energy Generation Improvements appropriation to the Environmental Services Department in the amount of $955,000; (Item continued on the next page) Recommendation: (b) (2) Decrease the Digested Sludge Dewatering Facility appropriation to the Environmental Services Department in the amount of $545,000; and (3) Increase the Digester and Thickener Facilities Upgrade appropriation to the Environmental Services Department in the amount of $1,500,000. CEQA: Exempt, File No. PP10-066(d), Feasibility and Planning Studies. (Environmental Services/City Manager)",""
"City of San Jose","FEBRUARY 24, 2015 ","11. PUBLIC HEARINGS ON CONSENT CALENDAR ","11.1 Public Hearings on Consent Calendar.","Recommendation: (a) Rezoning the Real Property Located on the Southerly Side of East San Salvador Street, Approximately 175 Feet Easterly of South Fourth Street. Recommendation: Consideration of an ordinance rezoning the real property located on the southerly side of East San Salvador Street, approximately 175 feet easterly of South Fourth Street (168 East San Salvador Street) from the CG-Commercial General Zoning District and R-M-Multiple Residence Zoning District to the R-M(PD) Planned Development Zoning District, to allow an approximately 9,818 square foot sorority house on a 0.11 gross acre site (Gamma Iota Chapter Kappa Delta House Corp, Owner). CEQA: Exempt, Section 15303 New Construction or Conversion of Small Structures. Planning Commission recommends approval (5-0-1). (Planning, Building and Code Enforcement) PDC14-050 District 3",""
"City of San Jose","FEBRUARY 24, 2015 ","11. PUBLIC HEARINGS ON CONSENT CALENDAR ","11.2 Rezoning the Real Property Located on the West Side of East Hill Drive, Approximately 250 Feet Southerly of Dale Drive","Recommendation: Consideration of an ordinance prezoning the unincorporated Santa Clara County territory totaling 0.52 gross acres located on the west side of East Hills Drive, approximately 250 feet southerly of Dale Drive (3405 East Hills Drive), to the City of San Joses R-1-8 Single-Family Residence Zoning District (Gonsalez Olga and Guillermo & Sanchez Jos Life Estate & ET AL, Owners). CEQA: Re-Use of Envision San Jose 2040 General Plan FEIR (Reso. No. 76041). (Planning, Building and Code Enforcement) C14-028 District 5",""
"City of San Jose","FEBRUARY 24, 2015 ","11. PUBLIC HEARINGS ","11.3 Actions Related to the Real Property Located on the West Side of Hamilton Avenue, Approximately 100 Feet South of Hamilton Way","Supplemental Recommendation: (a) Consideration of an ordinance rezoning the real property located on the west side of Hamilton Avenue, approximately 100 feet south of Hamilton Way (0 Hamilton Avenue) from R-1-8 Residential Zoning District to CN Commercial Neighborhood Zoning District; and (b) Consideration of a Conditional Use Permit to allow the operation of a two story, 13,545 square foot day care for up to 196 children. Resolution CEQA: Mitigated Negative Declaration. Planning Commission recommends approval (5-0-1). (Planning, Building and Code Enforcement) C14-036/CP14-039 District 6",""
"City of San Jose","FEBRUARY 24, 2015 ","11. PUBLIC HEARINGS ","11.4 Rezoning the Real Property Located at the Southwesterly Corner of Saint John Street and North Almaden Boulevard. - DROP","Recommendation: Consideration of an ordinance rezoning the real property located at the southwesterly corner of Saint John Street and North Almaden Boulevard (APNs 259-36-036, -037, -038, -039, and -067) from the Commercial General (CG) and Light Industrial (LI) Zoning Districts to the Downtown Primary Commercial (DC) Zoning District of five Little Italy properties (Green Valley Corp, Ray Shir, Owners). CEQA: Re-Use of Envision San Jose 2040 General Plan FEIR (Reso. No. 76041). (Planning, Building and Code Enforcement) C14-071 District 3 DROP TO BE RENOTICED",""
"City of San Jose","FEBRUARY 24, 2015 ","11. PUBLIC HEARINGS ","11.5 Rezoning the Real Property Located at the Southwest Corner of West San Carlos Street and Sunol Street. - DEFERRED","Recommendation: Consideration of an ordinance rezoning the real property located at the southwest corner of West San Carlos Street and Sunol Street (860 West San Carlos Street) from the A(PD) Planned Development Zoning District to the A(PD) Planned Development Zoning District to allow for specific changes to previously approved Development Standards, most notably: eliminating the minimum building height, lowering the minimum amount of commercial square footage from 24,000 to 14,000, and requiring standard conformance with the Citys parkland dedication requirements, for the subject 8.0 gross acre site (Santa Clara County Transit District, Owner). CEQA: Ohlone Mixed Use EIR Resolution No. 09064, File No. PDC08-061. Planning Commission recommends approval (5-0-1). (Planning, Building and Code Enforcement) PDC13-004 District 6 DEFERRED TO 3/10/15 PER ADMINISTRATION",""
"City of San Jose","MARCH 3, 2015 ","1. CEREMONIAL ITEMS ","1.1 Presentation of a proclamation declaring the Month of March 2015 as National Womens History Month in the City of San Jos. (Herrera)","(Rules Committee referral 2/25/15)",""
"City of San Jose","MARCH 3, 2015 ","1. CEREMONIAL ITEMS ","1.2 Presentation of a proclamation declaring the Month of March 2015 as Arts Education Month in the City of San Jos. (Rocha)","(Rules Committee referral 2/25/15)",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Rules and Open Government Committee Report of February 11, 2015. (Mayor) (b) Neighborhood Services and Education Committee Report of February 12, 2015. (Rocha) DEFERRED TO 3/10/15 PER CITY CLERK",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests.","",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.7 Federated City Employees Retirement System Board Public Member Appointment","Supplemental Code Review Application Conflict of Interest Recommendation: Consider the appointment of one (1) member of the public to the Board of Administration for the Federated City Employees Retirement System to a term ending February 28, 2019. CEQA: Not a Project. (City Clerk)",""
"City of San Jose","MARCH 3, 2015 ","2. CONSENT CALENDAR ","2.8 Irish Flag Raising","Recommendation: As recommended by the Rules and Open Government Committee on February 25, 2015: (a) Approve the Irish Flag Raising as a City Council sponsored Special Event and approving expenditure of City funds; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project. (Mayor) [Rules Committee referral 2/25/15 G(1)(a)]",""
"City of San Jose","MARCH 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of the Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","MARCH 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:00 A.M.",""
"City of San Jose","MARCH 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 Application for the 2014 Staffing for Adequate Fire and Emergency Response Grant","Recommendation: Adopt a resolution authorizing the City Manager to apply for the DHS/FEMA-administered, 2014 Staffing for Adequate Fire and Emergency Response Grant for funding to restore positions eliminated in prior years and vacated through attrition. CEQA: Not a Project, File No. PP10-068(a), Grant Application. (Fire) (Rules Committee referral 2/25/15)",""
"City of San Jose","MARCH 3, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.1 Amendment to the Agreement with Turner Construction for the United States Patent and Trademark Office Project","Recommendation: (a) Approve the First Amendment to the Construction Contract for the United States Patent and Trademark Office (USPTO) Project between the City and Turner Construction, Inc. to do the following: (1) Increase the amount of maximum compensation by $3,965,110 for a total Maximum Contract Amount not to exceed $13,601,474, subject to the appropriation of funds; and (Item continued on the next page) Recommendation: (a) (2) Set forth a revised construction schedule. (b) Approve an increase in the amount of the City-controlled project contingency by $385,081 for a total contingency amount of $1,348,717, subject to the appropriation of funds. (c) Adopt the following Appropriation Ordinance and Funding Sources Resolution amendments in the General Fund: (1) Increase the estimate for Revenue from Federal Government by $3,102,735; and (2) Increase the City-Wide appropriation to the Department of Public Works for the USPTO Tenant Improvements project by $3,102,735. CEQA: Exempt, File No. PP14-031. (Public Works/City Manager)",""
"City of San Jose","MARCH 3, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.2 Actions Related to the Real Property Located on the West Side of Hamilton Avenue, Approximately 100 Feet South of Hamilton Way","Supplemental NO ADDITIONAL PUBLIC COMMENT WILL BE TAKEN ON ITEM 4.2 UNLESS THE ITEM HAS BEEN SUBSTANTIALLY CHANGED SINCE THE COUNCIL HEARD THE ITEM ON FEBRUARY 24, 2015 Recommendation: (a) Adopt a resolution adopting the Mitigated Negative Declaration for the Primrose Preschool Project and the related Mitigation Monitoring and Reporting Program; (b) Consider an ordinance rezoning the real property located on the west side of Hamilton Avenue, approximately 100 feet south of Hamilton Way (0 Hamilton Avenue) from R-1-8 Residential Zoning District to CN Commercial Neighborhood Zoning District; and (c) Consider a Conditional Use Permit to allow the operation of a two story, 13,545 square foot day care for up to 196 children; and continue this subsection (c) to the City Council meeting of March 10, 2015 for action following final action on the rezoning ordinance. Resolution CEQA: Mitigated Negative Declaration. Planning Commission recommends approval (5-0-1). (Planning, Building and Code Enforcement) C14-036/CP14-039 District 6 (Continued from 2/24/15 Item 11.3) Public testimony was taken at the February 24, 2015 City Council meeting.",""
"City of San Jose","MARCH 3, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.1 Actions Related to the Airport Disadvantaged Business Enterprise Program. - DEFERRED","Recommendation: Adopt a resolution: (a) Approving a proposed overall Disadvantaged Business Enterprise (DBE) participation race-neutral goal of 7.25% for the Norman Y. Mineta San Jose International Airport for Federal Fiscal Years 2014-2016; (b) Authorizing the City Manager to submit the three-year DBE participation plan to the Federal Aviation Administration (FAA); and (c) Authorizing the City Manager to make revisions as requested by the FAA. CEQA: Not a Project, File No. PP10-066(e), Services involving no physical change to the environment. (Public Works/Airport) (Deferred from 2/3/15 Item 6.1) DEFERRED TO 3/24/15 PER ADMINISTRATION",""
"City of San Jose","MARCH 3, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.2 Actions Related to the Airport Marketing Consultant Agreement to Provide for a Shared Marketing Program with Hainan Airlines","Recommendation: (a) Adopt a resolution authorizing the City Manager to negotiate and execute a Marketing Reimbursement Agreement with Hainan Airlines Co., Ltd. to provide for a shared marketing program to promote Hainan Airlines new passenger airline service between the Norman Y. Mineta San Jose International Airport and Beijing Capital International Airport in a total shared marketing expenditure amount of $600,000, with dollar-for-dollar reimbursement from each party to the other for marketing expenditures made in an amount not to exceed $300,000 from either party, for a period of two years from the date of Council approval. (b) Approve a Second Amendment to the Master Agreement for Airport marketing services with Civilian, Inc. (formerly AdEase, Inc.), to increase the compensation by $600,000, for a total contract amount not to exceed $8,220,000, to provide funds for a shared marketing program with Hainan Airlines. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (Airport)",""
"City of San Jose","MARCH 3, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.3 Airport Ground Transportation Program. - DROP","Recommendation: As recommended by the Rules and Open Government Committee on December 10, 2014, modify RFP SJC131415 On-Demand Ground Transportation Management for the Norman Y. Mineta San Jose International Airport in order to comply with Council direction from March 4, 2014 to ensure the ability to work at the airport will be distributed equally among the companies as follows: (a) Delete the following language from the RFP: It is not expected, nor would an option be reviewed and approved by the Airport that calls for an equal/identical number of drivers to be assigned to the Airport per company despite the size of the company. (Item continued on the next page) Recommendation: (b) Add the following language to the RFP: Qualified cab companies will be required to provide an equal number of taxi cabs at the Airport to meet the demand from first to last flight, or from 5:00 a.m. to 12:00 midnight. The cab companies can schedule their drivers by 8 hours or more per day shift to give all of their drivers a chance to work at the Airport. (Herrera/Khamis) [Rules and Open Government Committee 12/10/14 Item G(5)] (Deferred from 1/27/15 Item 6.1, 2/10/15 Item 6.1 and 2/24/15 Item 6.1) DROP",""
"City of San Jose","MARCH 3, 2015 ","7. ENVIRONMENTAL & UTILITY SERVICES ","7.1 Sanitary Sewer Flow Study","Supplemental Recommendation: As recommended by the Transportation and Environment Committee on November 3, 2014: (a) Accept the updated staff report regarding the attached Sanitary Sewer Flow; and (b) Approve the proposed changes and policy recommendations for future updates to the revenue program for the San Jose-Santa Clara Regional Wastewater Facility. CEQA: Not a Project, File No PP10-067(a), Increase or Adjustments to Fees, Rates and Fares. (Environmental Services) [Transportation and Environment Committee referral 11/3/14 Item D(3)] (Deferred from 12/2/14 Item 7.4 and from 1/27/15 Item 7.1)",""
"City of San Jose","MARCH 3, 2015 ","7. ENVIRONMENTAL & UTILITY SERVICES ","7.2 Actions Related to the Emergency Replacement of Pond A18s Northern Gate Structure at the San Jos/Santa Clara Regional Wastewater Facility","Recommendation: (a) Accept the staff report detailing the current status of the San Jose/Santa Clara Regional Wastewater Facilitys Pond A18s northern gate structure, the likelihood for failure, the consequences of failure, and the plan for immediate action to remove and replace the structure. (b) Adopt a resolution by four-fifths of the City Council: (1) Declaring and finding that, based on substantial evidence, public interest and necessity demand the immediate procurement and award of engineering and construction contracts to perform emergency replacement of the San Jose/Santa Clara Regional Wastewater Facilitys Pond A18s northern gate structure without competitive bidding and that the emergency replacement will not permit a delay resulting from a competitive solicitation for bids, and that the action is necessary to respond to the emergency; and (Item continued on the next page) Recommendation: (b) (2) Delegating authority to the Directors of Environmental Services and Public Works to negotiate and award the engineering and construction contracts necessary to replace the northern gate structure in order to protect Pond A18 and levees in an amount not to exceed $1,000,000. CEQA: Exempt, File No. PP15-015, Section 15302, Replacement or Reconstruction. (Environmental Services/Public Works) (Rules Committee referral 2/25/15)",""
